saison,team_id,CC1_npxg,CC1d_npxg_gegen,npxg_diff,CC2_box_zugriffsrate,CC2d_box_zugriffsrate_gegen,CC3_abschlussqualitaet,CC3d_abschlussqualitaet_gegen,wy_totals_general_shots,schuesse_gegen,xpoints,spiele,punkte,tore,gegentore,tordifferenz,ppg,platz,aufsteiger,relegation,top3,top6,team
2017/18,2520,1.0739588235294117,1.3344352941176472,-0.2604764705882353,0.08973885511409871,0.1086985848207491,0.11864705882352941,0.11552941176470588,10.382352941176471,12.441176470588236,1.225444117647059,34,43,47,45,2,1.2647058823529411,10,0,0,0,0,Darmstadt 98
2017/18,2579,1.3741823529411765,0.9655970588235294,0.40858529411764705,0.12396705046621123,0.07646567595223669,0.1208529411764706,0.11535294117647059,13.794117647058824,9.705882352941176,1.7240323529411765,34,45,47,45,2,1.3235294117647058,9,0,0,0,0,Ingolstadt
2017/18,2658,1.0977588235294118,1.5208235294117647,-0.423064705882353,0.08257251905022178,0.10975926089355499,0.09332352941176471,0.11502941176470588,12.147058823529411,14.147058823529411,1.1112529411764707,34,42,50,56,-6,1.2352941176470589,13,0,0,0,0,Heidenheim
2017/18,2694,1.1712470588235295,1.323835294117647,-0.15258823529411764,0.09237169812678098,0.09402378666555272,0.1173235294117647,0.12429411764705882,11.058823529411764,11.147058823529411,1.3276764705882353,34,43,35,33,2,1.2647058823529411,11,0,0,0,0,Sandhausen
2018/19,2448,1.3695617647058824,1.4658588235294117,-0.09629705882352943,0.10464007246438882,0.10868112799475904,0.1292941176470588,0.12329411764705883,11.794117647058824,14.235294117647058,1.2537882352941176,34,44,49,50,-1,1.2941176470588236,11,0,0,0,0,Bochum
2018/19,2450,1.483785294117647,1.1839264705882353,0.29985882352941173,0.11527693674303542,0.10226369705267276,0.12823529411764706,0.1071470588235294,12.5,11.470588235294118,1.6125058823529412,34,56,45,42,3,1.6470588235294117,4,0,0,0,1,Hamburger SV
2018/19,2459,1.3715176470588235,1.3272470588235294,0.0442705882352941,0.11076599506558257,0.10032207500045065,0.11397058823529412,0.1278529411764706,12.882352941176471,10.823529411764707,1.4345911764705883,34,49,52,50,2,1.4411764705882353,7,0,0,0,0,Arminia Bielefeld
2018/19,2463,2.0460382352941178,1.2506676470588236,0.7953705882352942,0.1398572701296683,0.09993781200822949,0.1519705882352941,0.10255882352941177,14.823529411764707,11.647058823529411,1.9589176470588237,34,63,84,47,37,1.8529411764705883,1,1,0,1,1,Köln
2018/19,2467,1.341464705882353,1.775935294117647,-0.43447058823529405,0.10397828377438505,0.14053113806231518,0.11158823529411765,0.14088235294117646,12.617647058823529,14.147058823529411,1.0493235294117647,34,28,39,65,-26,0.8235294117647058,18,0,0,0,0,MSV Duisburg
2018/19,2468,1.1017882352941175,1.4851941176470589,-0.38340588235294115,0.08366827606166057,0.11868439109436733,0.10049999999999999,0.11144117647058824,11.5,13.911764705882353,1.1582588235294118,34,40,43,47,-4,1.1764705882352942,14,0,0,0,0,Erzgebirge Aue
2018/19,2469,1.0919176470588234,1.4481264705882353,-0.3562088235294118,0.0866908151036071,0.115427263454082,0.09355882352941176,0.11602941176470588,12.441176470588236,13.147058823529411,1.1423764705882353,34,42,37,56,-19,1.2352941176470589,13,0,0,0,0,Greuther Fürth
